施設名,緯度,経度,所在地,電話番号,利用可能日,利用可能時間,授乳スペース,おむつ替えスペース,施設情報URL,休憩スペース
つどいの広場　きらぽかひろば,34.674755,135.4865235,大阪市西区北堀江4-2-7,-,月曜日～金曜日　　　　,（月〜木曜日）10:00～15:00、（金曜日）12:00～17:00,×,〇,-
あわざこどもクリニック,34.6822206,135.4888309,大阪市西区西本町3丁目1-1岡崎橋セントラルビル2Ｆ,-,月曜日～土曜日,（月・火曜日・第１〜３水曜日・金曜日）9:00～11:30、14:00～15:30、17:30～19:00、（第４水曜日・木曜日）9:00～11:30、17:30～19:00、（土曜日）9:00～11:30,〇,〇,-
イオン大阪ドームシティ,34.670269,135.477917,大阪市西区千代崎3-13-1,-,毎日,10:00～21:00,〇,〇,-
大阪市港区役所,34.6638812171903,135.460668104515,大阪市港区市岡1-15-25,-,月曜日～金曜日　　,9:00～17:30,〇,〇,-
港子育て支援センター,34.6539795187746,135.444801462187,大阪市港区八幡屋3-11-6,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
大阪市立磯路保育所,34.6648127,135.4606606,大阪市港区磯路2-11-8,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
中央線　大阪港駅,34.653926567668,135.434439162187,大阪市港区築港3丁目5番9号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　朝潮橋駅,34.6601734924676,135.448277304515,大阪市港区田中3丁目1番4号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　弁天町駅,34.6687302663619,135.462866402137,大阪市港区波除3丁目11番6号,-,毎日　　   ,5:00～24:00,×,〇,-
港区子ども・子育てプラザ,34.6647215926474,135.460512933351,大阪市港区磯路2-11-10,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立港区民センター,34.6677359165737,135.458843133352,大阪市港区弁天2-1-5,-,毎日　　　,9:30～21:30,×,〇,-
大阪市立港近隣センター,34.656681194142,135.448224033351,大阪市港区八幡屋1-4-20,-,毎日　　　,9:30～21:30,×,〇,-
大阪市立港図書館,34.6678025630799,135.458601431105,大阪市港区弁天2丁目1番5号,-,火曜日～日曜日　　  ,（火〜金曜日）10:00～19:00、（土・日曜日）10:00～17:00,×,〇,-
はっぴいポケットみ・な・と,34.6659552,135.4705757,大阪市港区南市岡１-11-19,-,月～水曜日、金曜日・土曜日　　,9:30～14:30,〇,〇,-
大阪市大正区役所,34.6503607782466,135.472802188652,大阪市大正区千島2-7-95,-,月曜日～金曜日　　,9:00～17:30,〇,〇,-
大阪市立大浪保育所,34.6623367098855,135.480381474605,大阪市大正区三軒家東2-5-4-101,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
つどいの広場大正,34.642162687904,135.473506427156,大阪市大正区平尾2-23-5-101,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
長堀鶴見緑地線大正駅,34.665364684754,135.478437162041,大阪市大正区三軒家西1丁目2番1号,-,毎日　　   ,5:00～24:00,×,〇,-
大正区子ども・子育てプラザ,34.6571891182611,135.472259562041,大阪市大正区泉尾3-9-16,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立大正会館,34.6508861286877,135.4721808,大阪市大正区千島2-6-15,-,毎日　　　,9:30～21:30,〇,〇,-
大阪市立大正図書館,34.6509385993217,135.47215667638,大阪市大正区千島2丁目6番15号,-,火曜日～日曜日　　  ,（火～金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,〇,-
大阪市天王寺区役所,34.6578273678747,135.519349762041,大阪市天王寺区新法院町20-33,-,月曜日～金曜日　　,9:00～17:30,〇,〇,-
大阪市立男女共同参画センター中央館（クレオ大阪中央）,34.6598166,135.5155201,大阪市天王寺区上汐5-6-25,-,火曜日～日曜日　　,9:00～21:30,〇,〇,-
大阪市立味原保育所,34.6677363582586,135.527836125978,大阪市天王寺区味原町9-6,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
谷町線　谷町九丁目駅,34.6667072123878,135.515747029839,大阪市天王寺区生玉前町1番24号,-,毎日　　   ,5:00～24:00,×,〇,-
谷町線　四天王寺前夕陽ケ丘駅,34.6582062,135.5141341,大阪市天王寺区夕陽丘町3番2号,-,毎日　　   ,5:00～24:00,×,〇,-
谷町線　天王寺駅,34.6481237056481,135.513142238763,大阪市天王寺区茶臼山5番52号,-,毎日　　 ,5:00～24:00,×,〇,-
千日前線　谷町九丁目駅,34.6666021924061,135.516328008954,大阪市天王寺区生玉前町1番24号,-,毎日　　   ,5:00～24:00,×,〇,-
千日前線　鶴橋駅,34.6660685198339,135.52917164965,大阪市天王寺区下味原町1番24号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　玉造駅,34.6746267815424,135.530379578244,大阪市天王寺区玉造本町1番2号,-,毎日　　   ,5:00～24:00,×,〇,-
天王寺区子ども・子育てプラザ,34.6677228776521,135.528058308338,大阪市天王寺区味原町9-14,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立天王寺図書館,34.6615433670611,135.522118362041,大阪市天王寺区上之宮町4番47号,-,火曜日～日曜日　　  ,（火～金曜日）10:00～19:00、（土・日曜日）10:00～17:00,×,〇,-
大阪市立天王寺区民センター,34.660033595534,135.51409063405,大阪市天王寺区生玉寺町7番57号,-,毎日　　　,9:30～21:30,×,〇,-
大阪市浪速区役所,34.6593768179111,135.499602233205,大阪市浪速区敷津東1-4-20,-,月曜日～金曜日,（月〜木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
大阪市立難波市民学習センター,34.6662680562011,135.49542368377,大阪市浪速区湊町1-4-1ＯＣＡＴビル4階,-,月曜日～日曜日,（月～土曜日）9:30～21:30、（日曜日）9:30～17:00,×,〇,-
浪速子育て支援センター,34.6542767900032,135.491281696606,大阪市浪速区浪速東3-2-53,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
大阪市立浪速第５保育所,34.6579440809699,135.484717832196,大阪市浪速区木津川2-3-46,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
つどいの広場　小田町,34.6597418929141,135.492796633205,大阪市浪速区塩草2-1-12,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
御堂筋線　大国町駅,34.6553687661401,135.497943627665,大阪市浪速区敷津東3丁目11番10号,-,毎日　　  ,5:00～24:00,×,〇,-
四つ橋線　なんば駅,34.6671031516209,135.497458275535,大阪市浪速区元町1丁目1番17号,-,毎日　　   ,5:00～24:00,×,〇,-
四つ橋線　大国町駅,34.6553687661401,135.497943627665,大阪市浪速区敷津東3丁目11番10号,-,毎日　　   ,5:00～24:00,×,×,-
千日前線　桜川駅,34.668443472526,135.489760160194,大阪市浪速区幸町2丁目3番7号,-,毎日　　   ,5:00～24:00,×,〇,-
堺筋線　恵美須町駅,34.6547372460257,135.505472565734,大阪市浪速区日本橋5丁目5番15号,-,毎日　　   ,5:00～24:00,×,〇,-
浪速区子ども・子育てプラザ,34.6598847016454,135.509929978216,大阪市浪速区下寺2-2-12,-,火曜日～日曜日,9:00～17:30,〇,〇,-
大阪市立浪速区民センター,34.6649358159988,135.490397929589,大阪市浪速区稲荷2-4-3,-,毎日　　　,9:30～21:30,×,〇,-
大阪市立浪速図書館,34.6585525999999,135.496090099999,大阪市浪速区敷津西1丁目5番23号,-,火曜日～日曜日　　  ,（火〜金曜日）10:00～19:00、（土・日曜日）10:00～17:00,×,〇,-
大阪市西淀川区役所,34.7114090125616,135.456079793158,大阪市西淀川区御幣島1-2-10,-,月曜日～金曜日　　,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
つどいの広場　柏里,34.712844474621,135.465046336553,大阪市西淀川区柏里3-17-1-101,-,月曜日～金曜日,10:00～16:00,〇,〇,-
西淀川子育て支援センター,34.7122651562509,135.438034814957,大阪市西淀川区佃4-9-9,-,月曜日～金曜日,10:00～16:00,〇,〇,-
西淀川区子ども・子育てプラザ,34.7064483759375,135.457984406886,大阪市西淀川区姫里2-13-22,-,火曜日～日曜日,9:00～17:30,〇,〇,-
大阪市立西淀川図書館,34.7112602442687,135.456328650925,大阪市西淀川区御幣島1丁目2番10号,-,火曜日～日曜日 ,（火～金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,〇,-
大阪市淀川区役所,34.7209639952962,135.48669323934,大阪市淀川区十三東2-3-3,-,月曜日～金曜日　　,（月〜木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
社会福祉法人　大阪市淀川区社会福祉協議会,34.7353096336919,135.485945861964,大阪市淀川区三国本町2-14-3,-,月曜日～土曜日,9:00～17:30,〇,×,-
淀川子育て支援センター,34.7297877699202,135.49506406493,大阪市淀川区西中島7-14-41,-,月曜日～金曜日,10:00～16:00,〇,〇,-
御堂筋線　東三国駅,34.7408328962361,135.498469197661,大阪市淀川区東三国1丁目33番6号,-,毎日　　  ,5:00～24:00,×,〇,-
御堂筋線　新大阪駅,34.7329936653474,135.49851180281,大阪市淀川区西中島5丁目15番5号,-,毎日　　  ,5:00～24:00,〇,〇,-
御堂筋線　西中島南方駅,34.7255378218808,135.498608633077,大阪市淀川区西中島1丁目12番10号,-,毎日　　  ,5:00～24:00,〇,〇,-
つどいの広場かしま,34.7257995482463,135.458958279246,大阪市淀川区加島1-32-17,-,月曜日～金曜日,10:00～16:00,〇,〇,-
淀川区子ども・子育てプラザ,34.7305277708529,135.479799268863,大阪市淀川区新高1-11-19,-,火曜日～日曜日,9:00～17:30,〇,〇,-
ハローワーク淀川,34.7222614989045,135.482200487155,大阪市淀川区十三本町3-4-11,-,月曜日～金曜日,8:30～17:15,〇,〇,-
ぬくもりのおうちひろば,34.7290671916571,135.497846653081,大阪市淀川区西中島6-2-3　チサンマンション第7新大阪209号,-,月曜日～金曜日,10:00～17:00,〇,〇,-
大阪市立淀川区民センター,34.7253448736398,135.482886066063,大阪市淀川区野中南2-1-5,-,毎日　　　,9:30～21:30,×,〇,-
大阪市立淀川図書館,34.7160931284002,135.481228764403,大阪市淀川区新北野1丁目10番14号,-,火曜日～日曜日,（火〜金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,〇,-
大阪市東淀川区役所,34.7411318961473,135.529601273759,大阪市東淀川区豊新2丁目1番4号,-,月曜日～金曜日,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
大阪市東淀川区役所出張所,34.7381197078514,135.516692146224,大阪市東淀川区東淡路4-15-1,-,月曜日～金曜日,9:00～17:30,〇,〇,-
大阪市立西大道保育所,34.7476923971105,135.54203980141,大阪市東淀川区大桐2-8-2-100,-,月曜日～金曜日,10:00～16:00,〇,×,-
つどいの広場西淡路,34.741392724627,135.510840148792,大阪市東淀川区西淡路5-1-14,-,月曜日～金曜日,10:00～16:00,〇,〇,-
大阪市立豊里第１保育所,34.7441320313908,135.540822230025,大阪市東淀川区豊里7ー21ー23,-,月曜日～金曜日,10:00～16:00,〇,×,-
東淀川子育て支援センター,34.7342402645539,135.505297208843,大阪市東淀川区東中島4-11-25,-,月曜日～金曜日,10:00～16:00,〇,〇,-
今里筋線　井高野駅,34.7600817564317,135.54732675557,大阪市東淀川区北江口4丁目20番3号,-,毎日　　   ,5:00～24:00,×,〇,-
今里筋線　瑞光四丁目駅,34.7521503799354,135.5445625765,大阪市東淀川区瑞光4丁目9番4号,-,毎日　　   ,5:00～24:00,×,〇,-
今里筋線　だいどう豊里駅,34.7439566433652,135.544473680271,大阪市東淀川区大桐1丁目1番7号,-,毎日　　   ,5:00～24:00,×,〇,-
東淀川区子ども・子育てプラザ,34.741269835678,135.529268570482,大阪市東淀川区豊新2-1-4,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立東淀川図書館,34.7338799034295,135.519967937838,大阪市東淀川区東淡路1丁目4番53号,-,火曜日～日曜日,（火〜金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,〇,-
おやこひろば・相川,34.757161503963,135.535839988647,大阪市東淀川区相川2-13-6 Active ten1階,-,月曜日～金曜日　　,10:00～15:00,〇,〇,-
